"filename", "language", "JSON with Comments", "JSON", "Markdown", "JavaScript", "TypeScript", "XML", "YAML", "PostCSS", "TypeScript JSX", "HTML", "comment", "blank", "total"
"c:\Users\rybak\Downloads\Apps\SalesAgent\.claude\settings.local.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\rybak\Downloads\Apps\SalesAgent\.github\workflows\firebase-hosting-merge.yml", "YAML", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 2, 2, 21
"c:\Users\rybak\Downloads\Apps\SalesAgent\.github\workflows\firebase-hosting-pull-request.yml", "YAML", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 2, 2, 22
"c:\Users\rybak\Downloads\Apps\SalesAgent\Documentation\Allgemein.md", "Markdown", 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 29, 140
"c:\Users\rybak\Downloads\Apps\SalesAgent\Documentation\Kernfunktion.md", "Markdown", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 15, 62
"c:\Users\rybak\Downloads\Apps\SalesAgent\Documentation\Prozesse.md", "Markdown", 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 24, 122
"c:\Users\rybak\Downloads\Apps\SalesAgent\Documentation\VertexAI_RAG_Integration.md", "Markdown", 0, 0, 631, 0, 0, 0, 0, 0, 0, 0, 0, 184, 815
"c:\Users\rybak\Downloads\Apps\SalesAgent\README.md", "Markdown", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 23, 96
"c:\Users\rybak\Downloads\Apps\SalesAgent\docs\VERTEX_AI_RAG.md", "Markdown", 0, 0, 235, 0, 0, 0, 0, 0, 0, 0, 0, 74, 309
"c:\Users\rybak\Downloads\Apps\SalesAgent\eslint.config.mjs", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 3, 19
"c:\Users\rybak\Downloads\Apps\SalesAgent\firebase.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\rybak\Downloads\Apps\SalesAgent\next.config.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 3, 8
"c:\Users\rybak\Downloads\Apps\SalesAgent\package-lock.json", "JSON", 0, 8341, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8342
"c:\Users\rybak\Downloads\Apps\SalesAgent\package.json", "JSON", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39
"c:\Users\rybak\Downloads\Apps\SalesAgent\postcss.config.mjs", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\rybak\Downloads\Apps\SalesAgent\public\404.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 2, 34
"c:\Users\rybak\Downloads\Apps\SalesAgent\public\file.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rybak\Downloads\Apps\SalesAgent\public\globe.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rybak\Downloads\Apps\SalesAgent\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 6, 5, 90
"c:\Users\rybak\Downloads\Apps\SalesAgent\public\next.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rybak\Downloads\Apps\SalesAgent\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rybak\Downloads\Apps\SalesAgent\public\window.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\app\api\ai\analyze-rfp\route.ts", "TypeScript", 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 8, 12, 123
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\app\api\ai\compliance-check\route.ts", "TypeScript", 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 1, 11, 104
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\app\api\ai\extract-insights\route.ts", "TypeScript", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 1, 11, 82
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\app\api\ai\generate-agenda\route.ts", "TypeScript", 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 1, 12, 129
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\app\api\ai\generate-chapter-content\route.ts", "TypeScript", 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 1, 23, 126
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\app\api\ai\generate-cover-letter\route.ts", "TypeScript", 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 1, 10, 88
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\app\api\ai\generate-proposal-structure\route.ts", "TypeScript", 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 1, 11, 109
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\app\api\ai\generate-questions\route.ts", "TypeScript", 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 1, 12, 128
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\app\api\rag\analyze\route.ts", "TypeScript", 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 9, 17, 125
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\app\api\rag\context\route.ts", "TypeScript", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 4, 8, 56
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\app\api\rag\corpus\route.ts", "TypeScript", 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 12, 17, 126
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\app\api\rag\documents\route.ts", "TypeScript", 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 12, 20, 147
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\app\api\rag\search\route.ts", "TypeScript", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 5, 9, 65
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\app\auth\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 163, 0, 3, 17, 183
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\app\customers\[id]\edit\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 197, 0, 5, 17, 219
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\app\customers\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 741, 0, 23, 46, 810
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\app\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 249, 0, 6, 16, 271
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 5, 20, 109
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\app\icon.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 4, 28
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 173, 0, 7, 11, 191
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\app\project\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 374, 0, 10, 32, 416
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\app\project\new\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 265, 0, 4, 24, 293
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\app\projects\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 369, 0, 8, 22, 399
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\app\references\[id]\edit\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 233, 0, 8, 22, 263
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\app\references\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 491, 0, 20, 36, 547
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\app\resources\[id]\edit\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 352, 0, 5, 21, 378
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\app\resources\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 684, 0, 17, 32, 733
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\components\layout\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 164, 0, 7, 13, 184
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\components\layout\Sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 7, 89
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\components\layout\index.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\components\ui\AiProposalModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 388, 0, 22, 60, 470
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\components\ui\Badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 9, 42
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\components\ui\Button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 9, 66
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\components\ui\Card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 17, 78
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\components\ui\FileUpload.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 195, 0, 3, 25, 223
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\components\ui\Input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 11, 100
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\components\ui\Modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 4, 8, 77
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\components\ui\index.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\components\workflow\StepCustomerMeeting.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 323, 0, 9, 24, 356
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\components\workflow\StepProposalCreated.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 456, 0, 7, 36, 499
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\components\workflow\StepProposalSent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 350, 0, 10, 23, 383
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\components\workflow\StepQuestionsFormulated.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 374, 0, 13, 24, 411
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\components\workflow\StepRFPReceived.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 300, 0, 13, 23, 336
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\components\workflow\WorkflowStepper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 133, 0, 5, 11, 149
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\components\workflow\index.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\hooks\useFirebase.ts", "TypeScript", 0, 0, 0, 0, 274, 0, 0, 0, 0, 0, 2, 31, 307
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\lib\ai.ts", "TypeScript", 0, 0, 0, 0, 178, 0, 0, 0, 0, 0, 38, 33, 249
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\lib\firebase.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 4, 22
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\lib\utils.ts", "TypeScript", 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 39, 14, 134
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\lib\vertex-rag.ts", "TypeScript", 0, 0, 0, 0, 344, 0, 0, 0, 0, 0, 94, 57, 495
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\store\useStore.ts", "TypeScript", 0, 0, 0, 0, 167, 0, 0, 0, 0, 0, 24, 25, 216
"c:\Users\rybak\Downloads\Apps\SalesAgent\src\types\index.ts", "TypeScript", 0, 0, 0, 0, 289, 0, 0, 0, 0, 0, 15, 29, 333
"c:\Users\rybak\Downloads\Apps\SalesAgent\tsconfig.json", "JSON with Comments", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"Total", "-", 34, 8396, 1195, 20, 2546, 9, 35, 84, 7385, 111, 497, 1363, 21675